SHENO,GN,fieldcount,Land_ID,Land_Type,Land_Size,Land_Tenancy,Land_TenureLength,Land_Type1,Land_Type2,Land_Type3,Land_Seasonality,Land_IrrigSource1,Land_IrrigSource2,Land_IrrigSource3,Land_IrrigSource4,Land_IrrigSource5,Land_MainTankIrrig,Land_StorageTankIrrig,Land_SluiceName1,Land_SluiceName2,Land_FieldCanalLocation,Land_DCanalName,Land_FCanalNumber,Land_PrepWaterDaysMaha,Land_PrepWaterDaysYala,Land_PrepWaterSatisMaha,Land_PrepWaterSatisYala,Land_GrowingWaterIntervalMaha,Land_GrowingWaterHoursMaha,Land_GrowingWaterIntervalYala,Land_GrowingWaterHoursYala,Land_GrowingWaterSatisMaha,Land_GrowingWaterSatisYala,Land_LatterWaterIntervalMaha,Land_LatterWaterHoursMaha,Land_LatterWaterIntervalYala,Land_LatterWaterHoursYala,Land_LatterWaterSatisMaha,Land_LatterWaterSatisYala,Land_CultivationFrequency,Land_WhyNoCult1,Land_WhyNoCult2,Land_WhyNoCult3,Land_WhyNoCult4,Land_WhyNoCult5,Land_LowYieldDrought,Land_LowYieldOther,filter_$
502,23,1,1,1,1,1,20,1, , ,1,4, , , , ,3,71,2, ,2,99,99,2,2,3,3,1,24,1,24,3,3,2,24,2,24,3,3,10, , , , , ,0,0,0
506,23,1,1,1,1,2,50,1, , ,1,4, , , , ,3,71,2, ,2,99,99,14,14,3,3,14,6,3,6,3,3,3,1,5,4,2,2,10, , , , , ,2,3,0
509,23,2,1,1,.5,2,26,1, , ,1,4, , , , ,3,71,2, ,3,99,99,21,21,2,2,3,10,3,10,3,3,9,6,9,6,3,3,10, , , , , ,0,3,0
509,23,2,2,1,.5,8,12,1, , ,1,4, , , , ,3,71,2, ,2,99,99,21,21,2,2,3,10,3,10,3,3,9,6,9,6,3,3,10, , , , , ,0,3,0
511,23,1,1,1,1,2,45,1, , ,1,4, , , , ,3,71,2, ,1,99,99,15,15,3,3,7,1,5,2,3,3,5,1,3,2,3,3,10, , , , , ,0,5,0
514,23,1,1,1,1,2,1,1, , ,1,4, , , , ,3,71,2, ,2,99,99,14,14,3,3,7,5,4,5,3,3,5,5,5,5,3,3,10, , , , , ,0,4,0
527,23,1,1,1,1,3,26,1, , ,1,4, , , , ,3,71,2, ,1,RB17,99,6,6,3,3,3,2,3,2,3,3,7,2,7,2,3,3,10, , , , , ,0,0,0
537,23,1,1,1,1,2,30,1, , ,1,4, , , , ,3,71,2, ,1,99,99,14,14,3,3,3,3,3,3,3,3,6,3,6,3,3,3,10, , , , , ,0,3,0
548,23,2,1,1,1,2,8,1, , ,1,4, , , , ,3,71,2, ,1,99,RB-18,15,15,3,3,5,2,3,2,3,3,4,2,3,3,3,3,10, , , , , ,2,1,0
548,23,2,2,3,.5,1,8,3, , ,6,4, , , , ,3,71,2, ,1,99,RB-18,15,15,3,3,5,2,3,2,3,3,4,2,3,3,3,3,10, , , , , ,2,1,0
555,23,2,1,1,1,3,1,1, , ,1,4, , , , ,3,71,2, ,1,99,99,12,20,3,3,7,1,3,2,3,3,7,1,3,2,3,3,2,6, , , , ,0,0,0
555,23,2,2,1,2,3,6,1, , ,1,4, , , , ,3,71,2, ,1,99,99,14,14,3,3,6,2,3,3,3,3,6,2,3,3,3,3,1,6, , , , ,0,0,0
559,23,1,1,1,2.5,2,28,1, , ,1,4, , , , ,3,71,2, ,2,99,99,14,14,3,3,7,3,4,3,3,3,10,3,10,3,3,3,10, , , , , ,0,2,0
560,23,1,1,1,1,2,25,1, , ,1,4, , , , ,3,71,2, ,2,99,99,7,7,3,3,4,2,4,2,3,3,14,2,14,2,3,3,10, , , , , ,2,4,0
566,23,1,1,1,2.5,3,14,1, , ,1,4, , , , ,3,71,2, ,2,99,99,4,4,3,3,4,6,4,6,3,3,2,24,2,24,3,3,10, , , , , ,0,0,0
567,23,1,1,1,1,2,10,1, , ,1,4, , , , ,3,71,2, ,2,99,99,14,14,3,3,4,2,4,2,3,3,4,2,4,2,3,3,10, , , , , ,1,1,0
578,23,1,1,1,1,1,5,1, , ,1,4, , , , ,3,71,2, ,1,99,99,6,6,2,2,7,4,7,5,2,2,9,4,9,6,2,2,10, , , , , ,0,3,0
604,24,2,1,1,1,1,15,1, , ,1,5, , , , , ,76,7, ,2, , ,15,15,3,3,7,6,7,6,3,3,7,6,7,6,3,3,10, , , , , ,0,4,0
604,24,2,2,2,.5,1,22,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,4,0,0
607,24,3,1,1,1,1,15,1, , ,1,5, , , , , ,76,7, ,2, , ,30,30,3,3,7,6,7,6,3,3,7,6,7,6,3,3,10, , , , , ,0,0,0
607,24,3,2,2,2,1,15,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,2,0,0
607,24,3,3,2,2,1,15,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,1,0
609,24,2,1,1,1,1,20,1, , ,1,5, , , , , ,76,7, ,3, , ,20,20,2,2,10,2,10,2,3,2,10,2,7,2,3,2,10, , , , , ,3,2,0
609,24,2,2,2,2,1,20,2, , ,3,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, , , , ,2,2,0
612,24,3,1,1,1,3,2,1, , ,1,5, , , , , ,76,7, ,2, , ,30,30,3,3,7,4,7,6,3,3,7,4,7,6,3,3,4,6, , , , ,0,0,0
612,24,3,2,2,2,1,5,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,2,1,0
612,24,3,3,2,.75,1,46,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,1,0,0
613,24,2,1,1,1,1,20,1, , ,1,5, , , , , ,76,7, ,2, , ,14,14,2,2,7,10,7,10,3,3,7,10,7,10,3,3,10, , , , , ,2,0,0
613,24,2,2,2,2,1,20,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5, , , , ,2,0,0
638,24,2,1,1,1,5,13,1, , ,1,5, , , , , ,76,7, ,2, , ,99,99,2,2,99,99,99,99,2,2,99,99,99,99,4,4,4,1, , , , ,2,1,0
638,24,2,2,3,2,1,13,2,3, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,2,1,0
641,24,3,1,2,2,1,4,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,2,1,0
641,24,3,2,2,2,1,4,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,2,1,0
641,24,3,3,1,1,3,4,1, , ,1,5, , , , , ,76,7, ,2, , ,30,4,2,2,4,24,4,24,2,2,20,24,20,24,2,2,10, , , , , ,2,2,0
705,25,2,1,1,1,2,25,1, , ,1,3, , , , ,6,81,2, ,3,99,FC 10,4,4,3,3,4,24,4,24,2,2,4,24,4,24,2,2,10, , , , , ,0,1,0
705,25,2,2,1,.5,2,25,3, , ,6,3, , , , ,6,81,2, ,3,99,99,3,3,3,3,3,4,3,4,3,3,10,4,10,4,3,3,10, , , , , ,0,0,0
709,25,2,1,1,1,1,20,1, , ,1,3, , , , ,6,81,2, ,2,99,FC4,14,14,3,3,7,18,7,18,3,3,7,18,7,18,3,3,10, , , , , ,1,0,0
709,25,2,2,3,.5,1,20,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,1,0,0
712,25,3,1,1,1,6,15,1, , ,1,3, , , , ,6,81,2, ,1,99,FC3,21,14,3,3,3,8,2,8,3,2,3,8,5,8,3,2,9,6, , , , ,2,0,0
712,25,3,2,2,2,2,15,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,6, , , , ,2,0,0
712,25,3,3,1,2,3,5,3, , ,6,3, , , , ,6,81,2, ,1,99,FC3,21,14,3,3,3,8,2,8,3,2,3,5,5,8,3,2,8,6, , , , ,2,0,0
716,25,2,1,1,1,3,5,1, , ,1,3, , , , ,6,86,2, ,3,99,FC-10,20,20,2,2,7,2,7,2,2,2,7,2,7,2,2,2,10, , , , , ,1,0,0
716,25,2,2,3,.5,1,15,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , ,0,0,0
720,25,2,1,1,1,3,20,1, , ,1,3, , , , ,6,81,2, ,1,99,FC3,16,16,1,1,3,48,3,48,1,1,4,48,4,48,1,1,8,2, , , , ,0,1,0
720,25,2,2,2,1,2,2,3, , ,6,3, , , , ,6,81,7, ,1,99,FC3,2,2,2,2,7,4,7,4,2,2,7,4,7,4,2,2,4,2, , , , ,0,0,0
721,25,2,1,1,1,2,25,1, , ,1,3, , , , ,6,81,1, ,3,99,FC-1,14,14,3,3,3,8,3,8,3,3,3,8,3,8,3,3,10, , , , , ,0,0,0
721,25,2,2,1,1,2,25,3, , ,1,3, , , , ,6,81,1, ,3,99,FC-1,14,14,3,3,3,8,3,8,3,3,3,8,3,8,3,3,10, , , , , ,0,0,0
723,25,2,1,3,.5,2,50,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,1,0
723,25,2,2,1,1,2,45,1, , ,1,6, , , , , ,81,2, ,1, , ,21,14,3,2,3,9,3,9,3,2,7,6,7,6,3,1,10, , , , , ,2,0,0
728,25,1,1,1,1,1,31,1, , ,1,3, , , , ,6,81,2, ,2,99,FC 5,15,15,3,3,7,36,7,36,3,3,7,18,7,18,3,3,10, , , , , ,1,0,0
730,25,2,1,1,1,2,5,1, , ,1,3, , , , ,6,81,2, ,2,99,FC 7,21,14,3,3,2,20,2,20,3,2,7,30,7,30,3,1,10, , , , , ,1,0,0
730,25,2,2,3,.5,2,8,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,0,0
731,25,2,1,1,1,1,10,1, , ,1,3, , , , ,6,81,2, ,1,99,FC4,20,20,2,2,7,36,7,36,2,2,7,36,7,36,2,2,10, , , , , ,0,0,0
731,25,2,2,2,.5,1,10,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,0,0
732,25,2,1,1,1,1,25,1, , ,1,3, , , , ,6,81,2, ,3,KR-B-1,FC-6,15,15,1,1,7,2,7,2,1,1,7,2,7,2,1,1,10, , , , , ,1,0,0
732,25,2,2,3,.5,1,25,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,1,0
734,25,2,1,1,1,1,8,1, , ,1,3, , , , ,6,81,2, ,2,99,FC5,14,14,3,3,7,36,7,36,3,3,7,36,7,36,3,3,10, , , , , ,3,0,0
734,25,2,2,3,.25,1,20,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,0,0
751,26,2,1,1,1,2,8,1, , ,2,5, , , , , ,86,5, ,3, , ,99, ,3, ,8,6, , ,3, ,10,6, , ,3, ,5,1, , , , ,1,0,0
751,26,2,2,3,2,2,20,2, , ,1,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,0,1
752,26,2,1,3,1,2,5,1, , ,2,5, , , , , ,86,5, ,3, , ,99, ,3, ,99,99, , ,3, ,8,8, , ,3, ,5,1, , , , ,1,0,0
752,26,2,2,3,8,2,15,2,3,4,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,1,0,0
755,26,3,1,1,.5,2,10,1, , ,2,5, , , , , ,86,5, ,3, , ,7, ,3, ,10,9, , ,2, ,10,9, , ,1, ,5,1, , , , ,2,3,0
755,26,3,2,3,5,2,29,2,3, ,1,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1, , , , ,2,3,0
755,26,3,3,3,.5,2,29,1, , ,1,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , ,7,3, , , , ,2,3,0
756,26,1,1,3,1,1,10,1, , ,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,0,1
760,26,2,1,1,1,2,30,1, , ,2,5, , , , , ,86,5, ,3, , ,99, ,3, ,7,8, , ,3, ,7,8, , ,3, ,5,1, , , , ,1,1,0
760,26,2,2,3,1,2,30,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,1,0
761,26,2,1,1,1,2,15,1, , ,1,5, , , , , ,87,5, ,2, , ,21,14,3,2,10,8,10,8,3,2,10,8,15,8,3,1,10, , , , , ,1,1,0
761,26,2,2,3,2,2,20,3, , ,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,1,1
767,26,4,1,1,.5,2,10,1, , ,2,5, , , , , ,86,7, ,2, , ,99, ,3, ,4,4, , ,2, ,7,4, , ,2, ,5,1, , , , ,1,0,0
767,26,4,2,1,.5,3,10,1, , ,2,6, , , , , ,88,7, ,3, , ,99, ,3, ,4,8, , ,2, ,7,8, , ,2, ,5,1, , , , ,0,2,0
767,26,4,3,2,2,2,26,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,1,0,0
767,26,4,4,2,2.5,2,15,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,3,0,0
776,26,2,1,1,1,2,15,1, , ,1,5, , , , , ,88,7, ,3, , ,6,6,3,3,8,4,8,4,3,3,7,6,7,6,3,3,10, , , , , ,3,0,0
776,26,2,2,2,4,2,30,2,3, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,3,2,0
779,26,2,1,1,1,1,7,1, , ,1,5, , , , , ,87,4, ,2, , ,6,10,3,2,15,3,15,3,3,2,15,4,15,4,3,2,10, , , , , ,4,4,0
779,26,2,2,3,1,1,1,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , ,0,0,0
780,26,2,1,1,2,2,35,1, , ,1,8,11, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1, , , , ,2,3,0
780,26,2,2,2,4,2,35,3,2, ,7,8,11, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1, , , , ,2,3,0
809,13,2,1,1,1,1,20,1, , ,1,5, , , , , ,31,1, ,2, , ,21,21,3,3,2,3,2,4,3,3,2,3,2,3,3,3,8,1, , , , ,1,1,0
809,13,2,2,2,1,1,20,2,3, ,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,1,2,1
815,13,1,1,2,1,2,50,1, , ,1,5, , , , , ,31,1, ,3, , ,99,3,4,3,7,36,7,36,3,3,7,36,7,36,3,3,6,1, , , , ,2,1,0
818,13,1,1,2,1,1,15,1, , ,1,5, , , , , ,31,1, ,2, , ,21,21,3,3,6,12,6,12,3,3,6,12,6,12,3,3,7,1, , , , ,2,2,0
834,13,1,1,2,1,2,52,1, , ,1,6, , , , , ,31,1, ,2, , ,99,7,3,3,7,24,7,24,3,3,7,24,7,24,3,3,6,1, , , , ,3,0,0
870,14,2,1,2,1,1,25,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,2,3,0
870,14,2,2,2,.5,1,20,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, , , , ,1,1,0
874,14,2,1,2,1,1,6,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,3,2,0
874,14,2,2,2,1,1,6,2, , ,3,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,3,2,0
875,14,1,1,2,1,1,15,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,4,0
878,14,1,1,2,1,1,8,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,2,2,0
882,14,2,1,2,1,1,10,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,2,3,0
882,14,2,2,2,1,1,10,2, , ,3,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,1,0
911,7,1,1,1,1,1,25,1, , ,2,4, , , , ,5,11,7,13,1,99,1,4, ,3, ,7,2, , ,3, ,7,2, , ,3, ,4,2, , , , ,1,1,0
916,7,2,1,1,1,1,10,1, , ,2,4, , , , ,5,11,7,14,1,D13,1,2, ,3, ,7,2, , ,3, ,7,2, , ,3, ,4,2, , , , ,1,1,0
916,7,2,2,1,.25,7,10,1, , ,5,4, , , , ,5,11,7,13,1,D13,1, ,1, ,3, , ,7,2, ,3, , ,7,2, ,3,4,2, , , , ,1,1,0
934,7,2,1,1,1,1,42,1, , ,2,4, , , , ,5,14,7,13,1,D13,04,6, ,3, ,7,2, , ,2, ,7,2, , ,3, ,8,1, , , , ,2,1,0
934,7,2,2,1,.5,7,42,1, , ,5,4, , , , ,5,11,7,14,1,D13,04, ,2, ,2, , ,7,2, ,2, , ,7,2, ,2,8,1, , , , ,2,1,0
983,8,2,1,1,1,1,3,1, , ,2,5, , , , , ,23,5, ,1, , ,5, ,2, ,10,2, , ,1, ,10,2, , ,2, ,3,1,3,2, , ,2,1,0
983,8,2,2,2,1,1,4,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,1,1,0
102,16,3,1,1,1,2,2,1, , ,2,5, , , , , ,47,4, ,2, , ,2, ,3, ,10,6, , ,3, ,7,6, , ,3, ,2,6, , , , ,0,0,0
102,16,3,2,1,.25,2,2,1, , ,2,5, , , , , ,47,4, ,2, , ,2, ,3, ,10,2, , ,3, ,7,2, , ,3, ,2,6, , , , ,0,0,0
102,16,3,3,4,1.5,1,10,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,0,0
127,16,3,1,1,.5,1,6,1, , ,2,5, , , , , ,46,4, ,2, , ,2, ,3, ,7,4, , ,3, ,7,4, , ,3, ,5,1, , , , ,0,0,0
127,16,3,2,1,.75,1,15,1, , ,2,5, , , , , ,49,5, ,2, , ,2, ,3, ,10,6, , ,3, ,10,6, , ,3, ,5,1, , , , ,0,3,0
127,16,3,3,2,1,1,7,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4, , , , ,0,1,0
355,36,2,1,1,.25,2,60,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,0,0
355,36,2,2,1,1,2,60,1, , ,2,5, , , , , ,95,4, ,1, , ,99, ,2, ,7,4, , ,3, ,7,4, , ,3, ,5,1, , , , ,0,1,0
368,36,3,1,1,.25,1,3,1, , ,2,5, , , , , ,97,5, ,3, , ,2, ,3, ,7,5, , ,3, ,7,5, , ,3, ,2,1, , , , ,0,0,0
368,36,3,2,1,1,1,4,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , ,0,0,0
368,36,3,3,2,1,1,7,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,2,0
573,23,1,1,1,1.25,2,40,1, , ,1,4, , , , ,3,71,2, ,2,99,RB 17,14,14,1,1,7,6,4,6,2,2,9,6,4,6,2,2,10, , , , , ,0,1,0
601,24,2,1,1,1.5,1,7,1, , ,1,5, , , , , ,76,7, ,2, , ,7,7,2,2,3,7,3,7,2,2,7,3,7,3,2,2,10, , , , , ,2,0,0
601,24,2,2,3,1,1,12,2, , ,2,8,10, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,0,0
105,16,1,1,1,2,1,35,1, , ,1,5, , , , , ,46,4, ,2, , ,2,2,3,2,10,9,10,9,2,2,10,9,10,9,2,2,7,1, , , , ,4,0,0
106,16,2,1,1,1.5,1,13,1, , ,1,5, , , , , ,46,5, ,1, , ,99,7,4,2,7,10,7,10,3,2,7,10,7,10,3,2,7,1, , , , ,0,0,0
106,16,2,2,2,1,1,2,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6, , , , ,2,0,0
107,16,4,1,1,.5,1,10,1, , ,2,5, , , , , ,46,4, ,2, , ,2, ,3, ,10,4, , ,3, ,5,4, , ,3, ,4,1, , , , ,0,1,0
107,16,4,2,1,.5,1,10,1, , ,2,5, , , , , ,46,4, ,2, , ,3, ,3, ,10,4, , ,3, ,5,4, , ,3, ,4,1, , , , ,0,0,0
107,16,4,3,1,.5,2,2,1, , ,2,5, , , , , ,47,4, ,2, , ,2, ,3, ,8,4, , ,3, ,5,4, , ,3, ,2,6, , , , ,0,0,0
107,16,4,4,2,1,1,10,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,1,0
109,16,1,1,1,1.5,1,45,1, , ,1,5, , , , , ,46,4, ,2, , ,5,15,3,3,6,2,6,3,3,3,6,2,6,3,3,3,5,1, , , , ,2,0,0
142,16,5,1,1,.25,1,30,1, , ,1,5, , , , , ,46,5, ,1, , ,99,2,3,3,6,7,3,8,3,3,5,6,5,6,3,3,4,1, , , , ,0,2,0
142,16,5,2,1,.25,8,30,1, , ,1,5, , , , , ,46,5, ,1, , ,99,2,3,3,6,7,3,8,3,3,5,6,5,6,3,3,4,1, , , , ,0,2,0
142,16,5,3,1,.25,8,30,1, , ,1,5, , , , , ,46,5, ,1, , ,99,2,3,3,6,7,3,8,3,3,5,6,5,6,3,3,4,1, , , , ,0,1,0
142,16,5,4,1,.75,8,25,1, , ,1,5, , , , , ,46,5, ,3, , ,2,5,3,3,6,7,3,8,3,3,2,2,2,3,3,3,4,1, , , , ,0,1,0
142,16,5,5,2,1,1,5,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,1,1,0
149,16,3,1,1,.75,1,30,1, , ,1,5, , , , , ,46,5, ,2, , ,3,3,3,3,7,6,7,6,3,3,7,6,7,6,3,3,8,1, , , , ,8,0,0
149,16,3,2,1,.75,1,20,1, , ,2,5, , , , , ,46,4, ,3, , ,3, ,3, ,7,6, , ,3, ,7,6, , ,3, ,5,1, , , , ,5,0,0
149,16,3,3,2,1.5,1,20,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,3,0,0
154,16,3,1,1,.75,1,30,1, , ,1,5, , , , , ,46,4, ,2, , ,6,6,3,3,3,5,3,5,3,3,3,5,6,7,3,3,7,1, , , , ,0,2,0
154,16,3,2,1,.75,1,30,1, , ,1,5, , , , , ,46,4, ,2, , ,4,4,3,3,3,5,4,5,3,3,6,5,6,7,3,3,4,1, , , , ,0,1,0
154,16,3,3,2,1,1,20,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,0,1,0
156,16,2,1,1,.75,1,20,1, , ,2,5, , , , , ,46,5, ,1, , ,99, ,3, ,5,6, , ,3, ,5,6, , ,3, ,4,1, , , , ,3,0,0
156,16,2,2,1,.75,1,20,1, , ,2,5, , , , , ,47,5, ,3, , ,99, ,3, ,5,6, , ,3, ,5,6, , ,3, ,4,1, , , , ,0,0,0
243,15,2,1,1,1.5,1,39,1, , ,1,2, , , , ,1, ,1, ,2,D9,RB1,20,18,2,1,7,48,7,48,2,1,7,48,7,48,2,1,8,1, , , , ,3,0,0
243,15,2,2,2,1,1,39,3, , ,6,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,2,1,0
302,36,3,1,1,1,1,30,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,3,1,0
302,36,3,2,1,.5,1,30,1, , ,1,5, , , , , ,92,6, ,3, , ,3,3,3,3,6,1,6,1,3,3,10,1,10,1,3,3,6,1, , , , ,3,2,0
302,36,3,3,2,.25,6,1,2, , ,4,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6, , , , ,0,0,0
304,36,1,1,1,1.5,2,3,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , ,3,0,0
326,36,3,1,1,.5,1,5,1, , ,2,5, , , , , ,92,6, ,2, , ,99, ,4, ,7,24, , ,3, ,7,12, , ,3, ,5,1, , , , ,2,1,0
326,36,3,2,1,1,1,5,1, , ,2,5, , , , , ,92,6, ,2, , ,99, ,4, ,7,5, , ,3, ,7,5, , ,3, ,4,1, , , , ,2,0,0
326,36,3,3,2,2,6,5,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,0,0,0
332,36,7,1,1,.25,1,40,1, , ,2,5, , , , , ,92,5, ,3, , ,8, ,3, ,7,24, , ,3, ,5,4, , ,3, ,4,1, , , , ,0,1,0
332,36,7,2,1,.25,1,40,1, , ,1,5, , , , , ,95,5, ,2, , ,1,1,3,3,7,2,5,2,3,3,5,2,4,2,3,3,6,1, , , , ,0,1,0
332,36,7,3,1,.25,1,40,1, , ,1,5, , , , , ,95,5, ,2, , ,1,1,3,3,5,2,5,2,3,3,5,2,4,2,3,3,6,1, , , , ,0,1,0
332,36,7,4,1,.25,1,40,1, , ,1,5, , , , , ,95,5, ,2, , ,1,1,3,3,5,2,5,2,3,3,5,2,3,2,3,3,6,1, , , , ,0,1,0
332,36,7,5,1,.5,1,40,1, , ,2,5, , , , , ,95,4, ,2, , ,1, ,3, ,5,2, , ,3, ,5,2, , ,3, ,4,1, , , , ,0,1,0
332,36,7,6,1,3,1,40,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , ,0,1,0
332,36,7,7,2,2,1,10,2, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , ,0,2,0
340,36,2,1,1,1,1,15,1, , ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , ,0,0,0
340,36,2,2,1,.5,1,15,1, , ,2,5, , , , , ,92,6, ,2, , ,99, ,3, ,7,2, , ,3, ,10,2, , ,3, ,4,1, , , , ,0,0,0
415,20,2,1,1,3,1,60,1, , ,2,5, , , , , ,67,7, ,1, , ,7, ,3, ,3,48, , ,3, ,5,48, , ,3, ,5,1, , , , ,0,0,0
415,20,2,2,1,1.5,1,50,1,2, ,1,5,7,8, , , ,69,5, ,2, , ,3,3,3,2,3,48,3,48,3,2,3,48,3,48,3,2,10, , , , , ,3,10,0
425,20,3,1,1,1.5,1,50,1, , ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,2,2,0
425,20,3,2,2,1,5,25,2, , ,3,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, , , , ,1,1,1
425,20,3,3,2,2,3,1,2, , ,3,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , ,2,2,1
427,20,1,1,1,8,1,32,1,2, ,1,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , ,0,2,1
433,20,2,1,1,3,1,15,1,2, ,1,5,7,8, , , ,67,7, ,3, , ,99,5,4,3,99,99,3,72,4,3,99,99,3,72,4,3,5,1,6, , , ,3,4,0
433,20,2,2,1,3,2,6,1, , ,3,5, , , , , ,68,7, ,3, , , ,15, ,3, , ,3,72, ,3, , ,3,72, ,3,5,1, , , , ,2,4,0
452,19,1,1,1,1.5,1,35,1, , ,1,3, , , , ,2,61,7, ,3,D 2,FC 12,15,15,3,3,3,72,3,72,3,2,3,72,3,72,3,2,10, , , , , ,5,2,0
457,19,1,1,1,1.5,1,25,1, , ,1,3, , , , ,2,61,7, ,2,D2,FC7,14,14,3,3,4,48,4,48,3,2,4,48,4,48,3,2,10, , , , , ,3,2,0
505,23,1,1,1,1.5,2,10,1, , ,1,4, , , , ,3,71,2, ,2,99,99,14,14,3,3,7,1.5,5,1.5,3,3,10,1.5,10,1.5,3,3,10, , , , , ,0,4,0
