SPSS_vname,season,vname,vdesc,questionText,class,section,sectionNo,table,q,sq,ssq,sssq,unit,repeat,qualitative,other,nan
ENV1A11,,weeds,Weeds,Weeds,Categorical,Environmental change,7,1,11,1,,,,,,,
ENV1A12,,heconflict,Human elephant conflict,Human elephant conflict,Categorical,Environmental change,7,1,12,1,,,,,,,
ENV1A13_1,,otherchange,Other environmental conditions that have changed,Other environmental conditions that have changed,String,Environmental change,7,1,13,1,,,,,TRUE,,
ENV1A14_1,,otherchange2,Other environmental conditions that have changed,Other environmental conditions that have changed,String,Environmental change,7,1,14,1,,,,,TRUE,,
ENV1A14_2,,otherchange3,Other environmental conditions that have changed,Other environmental conditions that have changed,String,Environmental change,7,1,14,2,,,,,TRUE,,
ENV1B2,M,frfm,Future Maha rainfall,Future Maha rainfall,Categorical,Environmental change,7,1,2,2,,,,,,,
ENV1B3,Y,frfy,Future Yala rainfall,Future Yala rainfall,Categorical,Environmental change,7,1,3,2,,,,,,,
ENV1B6,,fdrought,Future drought,Future drought,Categorical,Environmental change,7,1,6,2,,,,,,,
ENV1B8,,firrigation,Future water received from irrigationirrigation,Future water received from irrigationirrigation,Categorical,Environmental change,7,1,8,2,,,,,,,
ENV1B9,,friceyield,Future rice yield,Future rice yield,Categorical,Environmental change,7,1,9,2,,,,,,,
ENV2_2,,lastdrought,Last year of drought,Last year of drought,Integer,Drought,7,2,2,,,,,,,,7777
ENV2_3,,droughtfreq,Droughts occur every x years,Droughts occur every x years,Integer,Drought,7,2,3,,,,,,,,99
ENV2_4,,droughtprob,Contribution of drought to family problems,Think about the difficulties your family faces.  Tell me how much of a problem droughts are for your family.,Categorical,Drought,7,2,4,,,,,,,,
ADP1_A1,,bethma,Practiced bethma,Practiced bethma,YN,Adaptation,8,1,1,3,,,,,,,
ADP1_C4,,ofcinpaddy,Planted OFC in paddy,Planted OFC in paddy,Categorical,Adaptation,8,1,4,3,,,,,,,
ADP1_C5,,harvetrw,Harvested rainwater,Harvested rainwater,Categorical,Adaptation,8,1,5,3,,,,,,,
ADP1_C6,,sd,Short duration varieties,Short duration varieties,Categorical,Adaptation,8,1,6,3,,,,,,,
ADP1_C7,,dr,Planted drought-resistant seeds,Planted drought-resistant seeds,Categorical,Adaptation,8,1,7,3,,,,,,,
ADP1_C8,,kemkrama,Practiced kem krama,Practiced kem krama,Categorical,Adaptation,8,1,8,3,,,,,,,
ADP1_C9,,gods,Worshiped gods,Worshiped gods,Categorical,Adaptation,8,1,9,3,,,,,,,
ADP1_C11,,parachute,Used the parachute method,Used the parachute method,Categorical,Adaptation,8,1,11,3,,,,,,,
ADP1_C1,,bethma,Practiced bethma,Practiced bethma,Categorical,Adaptation,8,1,1,3,,,,,,,
ADP1_C12,,transplant,Transplated seedlings,Transplated seedlings,Categorical,Adaptation,8,1,12,3,,,,,,,
ADP1_C13,,saturation,Saturation wetting and drying,Saturation wetting and drying,Categorical,Adaptation,8,1,13,3,,,,,,,
ADP1_C14,,sri,SRI,SRI,Categorical,Adaptation,8,1,14,3,,,,,,,
ADP1_D1_1,,bethmapurpose,Bethma purpose,For what purpose did you practice bethma?,Categorical,Adaptation,8,1,1,5,,,,,,,
ADP1_E1,,bethmaeffective,Bethma effectiveness,How effective was bethma,Categorical,Adaptation,8,1,1,5,,,,,,,
ADP1_F1,,bethmafuture,Bethma in the future,Do you intend to practice bethma in the future?,Categorical,Adaptation,8,1,1,6,,,,,,,
ADP2_1,,stopfarm,Barren season,Have you ever chose not to farm your land for a season?,YN,Stopped farming,8,2,1,,,,,,,,
ADP2_2_1,,whystopfarm,Why barren farm,Why did you stop farming?,Integer,Stopped farming,8,2,2,1,,,,,,,
ADP2_2_2,,whystopfarm2,Why barren farm,Why did you stop farming?,Integer,Stopped farming,8,2,2,2,,,,,,,
ADP2_2_3,,whystopfarm3,Why barren farm,Why did you stop farming?,Integer,Stopped farming,8,2,2,3,,,,,,,
ADP2_3,,rentland,Rent land ,Did you rent your land to someone else?,YN,Stopped farming,8,2,3,,,,,,,,
CAP2B_1,,elephantwatch,Elephant watch,Do you help guard lands against elephants?,YN,Collective actions,9,2,1,,,,,,,,
CAP2B_2,,oandm,Operation and maintenance,Do you participat in O and M?,YN,Collective actions,9,2,2,,,,,,,,
CAP2B_3,,attam,Attam,Do you participate in attam/labor sharing?,YN,Collective actions,9,2,3,,,,,,,,
CAP2B_4,,shareequip,Sharing farming equipment,Do you share community-owned farming equipment?,YN,Collective actions,9,2,4,,,,,,,,
CAP2B_6,,kannarasweema,Communal crop cultivation decisions,Do you participate in communal decision making about crops planted or cultivation schedule?,YN,Collective actions,9,2,6,,,,,,,,
CAP3_1,,goodfarmer,Perceived as good farmer,I am a good farmer,Categorical,Collective actions,9,3,1,,,,,,,,
PID1_1,,ladderrung,Life ladder rung,What ladder rung are you on now?,Integer,Personality,10,1,1,,,,,,,,
PID2_1,,lateadopter,Adopt after others perfect,You usually wait until other farmers have perfected new farming strategies before you adopt them.,Categorical,Personality,10,2,1,,,,,,,,
PID2_2,,firstadopter,Adopt first,You are usually one of the first in your village to try new techniques.,Categorical,Personality,10,2,2,,,,,,,,
SAT1_1,,fomember,FO member,Are you a member in a FO,Categorical,FO,11,1,1,,,,,,,,
SAT1_2,,fomeetings,FO meeting participation,How often do you partipicate in meetings?,Categorical,FO,11,1,2,,,,,,,,
SAT1_3,,foparticipation,Participation in other FO activities,How often do you participate in other activities,Categorical,FO,11,1,3,,,,,,,,
SAT1_7,,fosatisfaction,Satisfied with FO,Satisfied with FO,Categorical,FO,11,1,7,,,,,,,,
SAT1_8,,mgmtsatisfaction,Water managed well,Water managed well,Categorical,FO,11,1,8,,,,,,,,
SAT1_9,,infrsatisfaction,Infrastructure managed well,Infrastructure managed well,Categorical,FO,11,1,9,,,,,,,,
SAT1_10,,equity,Everyone gets fair amount of water,Would you say in this community (farmers) get an equal amount of irrigation water?,Categorical,FO,11,1,10,,,,,,,,
IrrigationType,,IrrigationType,Mahaweli or Purana,Mahaweli or Purana,Categorical,HH identifier,,,,,,,,,,,
LandAcres,,LandAcres,Total acres,Total acres,Float,Land holdings,,,,,,,acres,,,,
AllPaddyAcres,,AllPaddyAcres,Paddy acres,Paddy acres,Float,HH assets,,,,,,,,,,,
ChenaAcres,,ChenaAcres,Chena acres,Chena acres,Float,HH assets,,,,,,,,,,,
HighlandAcres,,HighlandAcres,Highland acres,Highland acres,Float,HH assets,,,,,,,,,,,
MajorAcres,,MajorAcres,Major system acres,Major system acres,Float,HH assets,,,,,,,,,,,
MinorAcres,,MinorAcres,Minor system acres,Minor system acres,Float,HH assets,,,,,,,,,,,
AgroWellAcres,,AgroWellAcres,Acres irrigated by agrowell,Acres irrigated by agrowell,Float,HH assets,,,,,,,,,,,
AnicutAcres,,AnicutAcres,Acres irrigated by anicut,Acres irrigated by anicut,Float,HH assets,,,,,,,,,,,
RainfedAcres,,RainfedAcres,Rainfed acres,Rainfed acres,Float,HH assets,,,,,,,,,,,
OtherAcres,,OtherAcres,Other acres,Other acres,Float,HH assets,,,,,,,,,,,
MajorPaddyAcres,,MajorPaddyAcres,Acres of paddy in major system,Acres of paddy in major system,Float,Paddy cultivation,,,,,,,,,,,
MinorPaddyAcres,,MinorPaddyAcres,Acres of paddy in minor system,Acres of paddy in minor system,Float,Paddy cultivation,,,,,,,,,,,
AgroWellPaddyAcres,,AgroWellPaddyAcres,Acres of paddy irrigated by agrowell,Acres of paddy irrigated by agrowell,Float,Paddy cultivation,,,,,,,,,,,
AnicutPaddyAcres,,AnicutPaddyAcres,Acres of paddy irrigated by anicut,Acres of paddy irrigated by anicut,Float,Paddy cultivation,,,,,,,,,,,
RainfedPaddyAcres,,RainfedPaddyAcres,Acres of paddy irrigated by rainfall,Acres of paddy irrigated by rainfall,Float,Paddy cultivation,,,,,,,,,,,
OtherPaddyAcres,,OtherPaddyAcres,Other paddy acreage,Other paddy acreage,Float,Paddy cultivation,,,,,,,,,,,
PaddyPctMinor,,PaddyPctMinor,Percent of paddy irrigated by minor system,Percent of paddy irrigated by minor system,Float,Paddy cultivation,,,,,,,,,,,
PaddyPctRainfed,,PaddyPctRainfed,Percent of paddy irrigated by rainfall,Percent of paddy irrigated by rainfall,Float,Paddy cultivation,,,,,,,,,,,
PaddyAcres,,PaddyAcres,Total acres of paddy,Total acres of paddy,Float,Paddy cultivation,,,,,,,,,,,
TypMahaPaddyAcres,M,TypMahaPaddyAcres,Typical acres cultivated of paddy during Maha,Typical acres cultivated of paddy during Maha,Float,Paddy cultivation,,,,,,,,,,,
TypMahaPaddyYield,M,TypMahaPaddyYield,Typical Maha yield,Typical Maha yield,Float,Paddy cultivation,,,,,,,,,,,
TypYalaPaddyAcres,Y,TypYalaPaddyAcres,Typical acres of paddy cultivated during Yala,Typical acres of paddy cultivated during Yala,Float,Paddy cultivation,,,,,,,,,,,
TypYalaPaddyYield,Y,TypYalaPaddyYield,Typical paddy yield in Yala,Typical paddy yield in Yala,Float,Paddy cultivation,,,,,,,,,,,
Education,,Education,Education,Education,Float,Demographic,,,,,,,,,,,
HsldSize,,HsldSize,Household size,Household size,Float,Demographic,,,,,,,,,,,
FirstGenFarmer,,FirstGenFarmer,First generation farmer,First generation farmer,Float,HH characteristics,,,,,,,,,,,
Mechanization,,Mechanization,Mechanization,Mechanization,Float,Index,,,,,,,,,,,
PaddyRevenue_PctIncome,,PaddyRevenue_PctIncome,Percent of revenue from paddy,Percent of revenue from paddy,Float,Paddy cultivation,,,,,,,,,,,
CommunityCohesion,,CommunityCohesion,Community cohesion scale,Community cohesion scale,Float,Index,,,,,,,,,,,
IrrigScheme,,IrrigScheme,Major or minor irrigation system,Major or minor irrigation system,Categorical,HH identifier,,,,,,,,,,,
PaddyPctMajor,,PaddyPctMajor,Percent of paddy in major system,Percent of paddy in major system,Float,Paddy cultivation,,,,,,,,,,,
IrrigationStress,,IrrigationStress,Irrigation stress,Irrigation stress,Float,Index,,,,,,,,,,,
FOmember,,FOmember,FO dummy,FO dummy,Integer,Dummy,,,,,,,,,,,
FOParticipate,,FOParticipate,FO participation dummy,FO participation dummy,Integer,Dummy,,,,,,,,,,,
WaterRiskPerc,,WaterRiskPerc,Water Risk Perception,Water Risk Perception,Float,Index,,,,,,,,,,,
Efficacy,,Efficacy,Self efficacy,Self efficacy,Float,Index,,,,,,,,,,,
TotalHseIncome,,TotalHseIncome,Total household income,Total household income,Float,Demographic,,,,,,,,,,,
PctPaddyConsume,,PctPaddyConsume,Percent of paddy consumed,Percent of paddy consumed,Float,Paddy market,,,,,,,,,,,
TypicalYield_Yr,,TypicalYield_Yr,Typical yield in a year,Typical yield in a year,Float,Paddy cultivation,,,,,,,,,,,
RiskAversion_2,,RiskAversion_2,Risk aversion index,Risk aversion index,Float,Index,,,,,,,,,,,
FloodDepth,,FloodDepth,,,Float,ETC,,,,,,,,,,,
FloodDepth_raw,,FloodDepth_raw,,,Float,ETC,,,,,,,,,,,
IrrigationConserver,,IrrigationConserver,Irrigation conserver dummy,Irrigation conserver dummy,Integer,Dummy,,,,,,,,,,,
IrrigationHighUser,,IrrigationHighUser,Irrigation high user dummy,Irrigation high user dummy,Integer,Dummy,,,,,,,,,,,
LandOwner,,LandOwner,Land owner dummy,Land owner dummy,Integer,Dummy,,,,,,,,,,,
RiskAversion,,RiskAversion,Risk aversion score,Risk aversion score,Float,Index,,,,,,,,,,,
SESIndex_3,,SESIndex_3,SES,SES,Float,Index,,,,,,,,,,,
